电信,#genre#
和田洛浦1 HD,rtp://238.125.2.182:5140
CCTV16高清,rtp://238.125.2.183:5140
疏附2,rtp://238.125.2.184:5140
疏附1,rtp://238.125.2.185:5140
博乐TV,rtp://238.125.2.186:5140
哈巴河2 HD,rtp://238.125.2.187:5140
哈巴河1 HD,rtp://238.125.2.188:5140
乌恰2,rtp://238.125.2.189:5140
裕民1,rtp://238.125.2.191:5140
和丰1,rtp://238.125.2.192:5140
额敏1,rtp://238.125.2.193:5140
塔城乌苏,rtp://238.125.2.194:5140
家庭理财,rtp://238.125.2.195:5140
精彩影视HD,rtp://238.125.2.196:5140
安徽人物频道（？）,rtp://238.125.2.197:5140
求索记录 HD,rtp://238.125.2.198:5140
足球频道 HD,rtp://238.125.2.199:5140
8MHD-法治天地-4-2,rtp://238.125.2.201:5140
金色频道HD,rtp://238.125.2.202:5140
生活时尚HD,rtp://238.125.2.204:5140
财富天下,rtp://238.125.2.205:5140
三沙卫视,rtp://238.125.2.206:5140
米东-1,rtp://238.125.2.207:5140
2160_25P_AVC_2.0_SDR_BT.709,rtp://238.125.2.209:5140
五师TV-2,rtp://238.125.2.210:5140
五师TV-1,rtp://238.125.2.211:5140
十二师1 HD,rtp://238.125.2.212:5140
托里1,rtp://238.125.2.213:5140
疏勒2 HD,rtp://238.125.2.214:5140
疏勒1 HD,rtp://238.125.2.215:5140
北京卡酷HD,rtp://238.125.2.216:5140
8M-HD-哈哈炫动,rtp://238.125.2.217:5140
广西高清,rtp://238.125.2.218:5140
河南文物宝库 HD,rtp://238.125.2.219:5140
河南武术世界 HD,rtp://238.125.2.220:5140
河南梨园频道 HD,rtp://238.125.2.221:5140
阿勒泰2,rtp://238.125.2.222:5140
云南高清,rtp://238.125.2.223:5140
于田2,rtp://238.125.2.224:5140
于田1,rtp://238.125.2.225:5140
泽普4,rtp://238.125.2.228:5140
泽普1,rtp://238.125.2.229:5140
CETV-2,rtp://238.125.2.234:5140
金鹰卡通 HD,rtp://238.125.2.235:5140
快乐垂钓 HD,rtp://238.125.2.236:5140
先锋乒羽,rtp://238.125.2.237:5140
湖南茶 HD,rtp://238.125.2.238:5140
乌鲁木齐6高清,rtp://238.125.2.239:5140
乌鲁木齐4高清,rtp://238.125.2.241:5140
乌鲁木齐3高清,rtp://238.125.2.242:5140
乌鲁木齐2高清,rtp://238.125.2.243:5140
乌鲁木齐1高清,rtp://238.125.2.244:5140
CCTV13高清,rtp://238.125.2.245:5140
伊吾1,rtp://238.125.2.246:5140
塔县2,rtp://238.125.2.247:5140
岳普湖2,rtp://238.125.2.248:5140
岳普湖1,rtp://238.125.2.249:5140
英吉沙2,rtp://238.125.2.250:5140
英吉沙1,rtp://238.125.2.251:5140
叶城2,rtp://238.125.2.252:5140
叶城1,rtp://238.125.2.253:5140
阿克苏新和1 HD,rtp://238.125.2.254:5140
CGTN西语,rtp://238.125.3.100:5140
CGTN俄语,rtp://238.125.3.101:5140
CGTN记录,rtp://238.125.3.102:5140
吉林高清,rtp://238.125.3.103:5140
第十四师昆玉市,rtp://238.125.3.105:5140
江西高清,rtp://238.125.3.106:5140
拜城1,rtp://238.125.3.107:5140
拜城2（维语）,rtp://238.125.3.108:5140
9师TV1,rtp://238.125.3.109:5140
二师1,rtp://238.125.3.111:5140
玛纳斯1 HD,rtp://238.125.3.114:5140
奇台-1,rtp://238.125.3.115:5140
库车1,rtp://238.125.3.117:5140
库车2,rtp://238.125.3.118:5140
CGTN-纪录 HD,rtp://238.125.3.119:5140
CGTN记录,rtp://238.125.3.120:5140
冬奥纪实 HD,rtp://238.125.3.121:5140
金鹰纪实 HD,rtp://238.125.3.122:5140
中国教育一台 HD,rtp://238.125.3.124:5140
精河-1,rtp://238.125.3.126:5140
百事通4K,rtp://238.125.3.127:5140
尉犁1,rtp://238.125.3.128:5140
乌什1,rtp://238.125.3.130:5140
乌什2,rtp://238.125.3.131:5140
CGTN-环球国际 HD,rtp://238.125.3.134:5140
上海纪实 HD,rtp://238.125.3.135:5140
富蕴汉语,rtp://238.125.3.136:5140
富蕴哈语,rtp://238.125.3.137:5140
库尔勒1,rtp://238.125.3.138:5140
库尔勒2（维语）,rtp://238.125.3.139:5140
湖南快乐购,rtp://238.125.3.140:5140
伽师-1,rtp://238.125.3.141:5140
伽师-2,rtp://238.125.3.142:5140
石河子8师1,rtp://238.125.3.143:5140
石河子8师2,rtp://238.125.3.144:5140
石河子8师3,rtp://238.125.3.145:5140
石河子8师4,rtp://238.125.3.146:5140
温泉县,rtp://238.125.3.148:5140
和静1,rtp://238.125.3.149:5140
塔里木1 HD,rtp://238.125.3.150:5140
塔里木2 HD,rtp://238.125.3.151:5140
CCTV17,rtp://238.125.3.152:5140
CCTV17高清,rtp://238.125.3.153:5140
未接收到信号源,rtp://238.125.3.157:5140
好享购物,rtp://238.125.3.158:5140
九屏测试-1,rtp://238.125.3.159:5140
九屏测试-2,rtp://238.125.3.160:5140
九屏测试-3,rtp://238.125.3.161:5140
九屏测试-4,rtp://238.125.3.162:5140
五家渠广告 HD,rtp://238.125.3.164:5140
五家渠新闻 HD,rtp://238.125.3.165:5140
五家渠经济生活 HD,rtp://238.125.3.166:5140
未接收到信号源,rtp://238.125.3.167:5140
江苏卫视2023跨年演唱会,rtp://238.125.3.168:5140
江苏卫视2023跨年演唱会,rtp://238.125.3.169:5140
江苏卫视2023跨年演唱会,rtp://238.125.3.170:5140
河南高清,rtp://238.125.3.171:5140
阿瓦提综合,rtp://238.125.3.173:5140
XJTV1HD,rtp://238.125.3.174:5140
XJTV2HD,rtp://238.125.3.175:5140
XJTV3HD,rtp://238.125.3.176:5140
XJTV4HD,rtp://238.125.3.177:5140
XJTV5HD,rtp://238.125.3.178:5140
XJTV6HD,rtp://238.125.3.179:5140
XJTV7HD,rtp://238.125.3.180:5140
XJTV8HD,rtp://238.125.3.181:5140
XJTV9HD,rtp://238.125.3.182:5140
XJTV10HD,rtp://238.125.3.183:5140
XJTV11HD,rtp://238.125.3.184:5140
XJTV12HD,rtp://238.125.3.185:5140
伊宁新闻,rtp://238.125.3.186:5140
伊宁维吾尔,rtp://238.125.3.187:5140
和硕,rtp://238.125.3.188:5140
阿合奇-1,rtp://238.125.3.189:5140
阿合奇-2,rtp://238.125.3.190:5140
麦盖提1,rtp://238.125.3.192:5140
麦盖提2,rtp://238.125.3.193:5140
塔城市,rtp://238.125.3.194:5140
温宿1,rtp://238.125.3.195:5140
温宿2,rtp://238.125.3.196:5140
未接收到信号源,rtp://238.125.3.209:5140
CCTV11高清,rtp://238.125.3.212:5140
CCTV15高清,rtp://238.125.3.213:5140
喀什1,rtp://238.125.3.214:5140
喀什2,rtp://238.125.3.215:5140
喀什3,rtp://238.125.3.216:5140
阿克苏市2,rtp://238.125.3.221:5140
阿克苏市1,rtp://238.125.3.222:5140
尼勒克1,rtp://238.125.3.223:5140
尼勒克2,rtp://238.125.3.224:5140
昭苏1 HD,rtp://238.125.3.225:5140
昭苏2 HD,rtp://238.125.3.226:5140
伊宁县1 HD,rtp://238.125.3.228:5140
伊宁县2 HD（维语）,rtp://238.125.3.229:5140
新源2（哈语）,rtp://238.125.3.232:5140
新源1,rtp://238.125.3.233:5140
